Author,Reference,Number of Subjects, Cohort,Mean Body mass index (kg/m2),Deviation standard of BMI,Number of Female Subjects,Mean Age,Deviation standard of Age,Medical treatament protocol,Statiscal Analysis,Plasmatic enteropeptide reagents,Caloric protocol Do not use as a caloric test,Cohorts,Caloric test,Kcal of the Caloric test,TOTAL GHRELIN,Time,Pmol/L,,ACYLATED GHRELIN,Time,Pmol/L,,TOTAL GIP,Time,Pmol/L,,ACTIVE GIP,Time,Pmol/L,,TOTAL GLP-1,Time,Pmol/L,,ACTIVE GLP-1,Time,Pmol/L,,TOTAL PYY,Time,Pmol/L,,,PYY3-36,Time,Pmol/L,,,Insulin,Time,Pmol/L,,Glucagon,Time,Pmol/L,,Glucose,Time,mmol/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,120,108.00,,,120,49.80,,,120,29.40,,,120,14.80,,,,,,,,,,,,,120,82.50,,,,,,,120,4.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,150,92.50,,,150,41.70,,,150,26.30,,,150,14.50,,,,,,,,,,,,,150,54.10,,,,,,,150,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,180,77.60,,,180,35.60,,,180,22.50,,,180,13.20,,,,,,,,,,,,,180,42.60,,,,,,,180,4.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vilsbøll 2003,"Vilsbøll T, Krarup T, Sonne J, Madsbad S, Vølund A, Juul AG, Holst JJ. Incretin secretion in relation to meal size and body weight in healthy subjects and people with type 1 and type 2 diabetes mellitus. J Clin Endocrinol Metab. 2003 Jun;88(6):2706-13. doi: 10.1210/jc.2002-021873. PMID: 12788877.",8,No obesity-No T2DM Cohort,22.5,,,52.5,,,Statistical analysis was carried out as a two-factor ANOVA for repeated measurements. with post hoc contrasting of patient results vs. healthy subjects. using the software Statistica (Statsoft. Tulsa. OK). Areas under the curve (AUCs) were calculated using the trapezoidal rule. and t tests for paired data were used for comparing the large and the small meal. Venous blood was drawn 15. 10. and 0 min before and 15. 30. 45. 60. 75. 90. 120. 150. and 180 min after ingestion of the breakfast meal. Blood was distributed into fluoride tubes for plasma glucose analysis and into chilled tubes containing heparin or EDTA (6 mm) plus aprotinin (500 KIU/ml blood. Trasylol. Bayer Corp.. Leverkusen. Germany) for hormone analyses. Tubes were immediately cooled on ice and centrifuged at 4 C within 20 min. Plasma was stored at 20 C until analysis (plasma for insulin and C-peptide analysis was stored at 80 C).   Statistical analysis and calculations: All results are presented as the mean sem.,Plasma glucose concentrations were measured. during the experiments. by a glucose oxidase method using a glucose analyzer (Yellow Springs Instrument Model YSI 2300 STAT plus analyzer. YSI. Inc..Yellow Springs. OH). Plasma insulin and C-peptide concentrations were measured by auto-DELPHIA automatic fluoroimmunoassay (Wallac. Inc..Turku. Finland). The detection limit is approximately 3 pm for insulin and 17 pm for C-peptide. Intra- and interassay coefficients of variation for insulin are 4–10% at 39–1.240 pm. Intra- and interassay coefficients of variation for C-peptide are 3–6% at 380-2700 pm.  The cross-reactivitywith intact and split proinsulin in the peptide assay is 63–87%. Incretin hormones were measured using RIA. Total GIP was measured using the C-terminally directed antiserum R65. which reacts fullywith intact GIP and the N-terminally truncated metabolite. GIP(3–42). The assay has a detection limit of 2 pm and an intra-assay variation of approximately 6%. Intact. biologically active GIP was measured using a newly developed assay as described (5). The assay is specific for the  intact N terminus of GIP. and it cross-reacts less than 0.1% with GIP(3– 42) or with the structurally related peptides GLP-1(7–36) amide. GLP-1(9–36)amide. GLP-2(1–33). GLP-2(3–33). or glucagon at concentrations of up to 100 nm. Intra-assay variation was less than 6%. and interassay variation was approximately 8 and 12% for 20 and 80 pm standards. respectively. C-terminal GLP-1 (total) immunoreactivity was measured as described previously (19). using standards of synthetic GLP-1(7–36)amide (proglucagon 78–107amide) and antiserum no. 89390. The assay cross-reacts less than 0.01% with C-terminally truncated fragments and 83% with GLP-1(9–36)amide and has a detection limit of 1 pm. Intra-assay and interassay coefficients of variation were less than 6% and 15%. respectively. at 40 pm. The N-terminal GLP-1 assay. measuring the concentration of intact GLP-1. was measured using a two-site sandwich immunoassay (20) based on two monoclonal antibodies: the near C-terminally directed GLP1F5 as catching antibody and the strictly N-terminal Mab26.1 as detecting antibody. Standards were GLP-1(7–36)amide. The assay showed less than 0.1% cross-reactivity with N-terminally truncated or extended forms of GLP-1. GLP-1(1–37). GLP-1(8–37). or GLP-1(9–37). Detection limit was 1 pm. and intra-assay coefficient of variation was better than 5%. The glucagon assay is directed against the C-terminus of the glucagon molecule (antibody code no. 4305) and. therefore. measures glucagon of mainly pancreatic origin. The sensitivity is approximately 1 pm. and the intra-assay coefficient of variation is less than 6% in the range between 10 and 25 pm.,In randomized order. within 1 wk. two meal tests were performed. The meals (small and large. respectively) comprised 260 kcal (1090 kJ) and 520 kcal (2180 kJ) and consisted of 25 and 50 g white bread. 25 and 50 g black bread. 10 and 20 g low-fat margarine. 15 and 30 g cheese. 20 and 40 g jam. and 100 and 200 ml milk (33% fat. 48% carbohydrate. and 19% protein). Thirty minutes before ingestion of the test meal. the type 1 diabetic patients injected their normal insulin dose. The insulin dose was the same on the 2 experimental days. except for one patient who experienced hypoglycemia after ingestion of the large meal. Therefore. for this patient. the insulin dose was reduced by 60% on the day of ingestion of the small meal. Half the meal was ingested during the first5 min. thereafter. 1.5 g paracetamol. dissolved in 50 ml water. was taken orally by the participants. Finally. the rest of the meal was ingested during the next 5 min. thus. the whole meal was consumed within 10 min.,No obesity-No T2DM Cohort,Solid Mixed Meal Test,260 Kcal,,,,,,,,,TOTAL GIP,Time,Pmol/L,,ACTIVE GIP,Time,Pmol/L,,TOTAL GLP-1,Time,Pmol/L,,ACTIVE GLP-1,Time,Pmol/L,,,,,,,,,,,,Insulin,Time,Pmol/L,,,,,,Glucose,Time,mmol/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,10.70,,,0,8.30,,,0,13.60,,,0,10.50,,,,,,,,,,,,,0,119.00,,,,,,,0,5.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,15,38.90,,,15,31.60,,,15,23.50,,,15,14.90,,,,,,,,,,,,,15,171.00,,,,,,,15,5.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,30,59.40,,,30,38.90,,,30,29.70,,,30,17.40,,,,,,,,,,,,,30,151.00,,,,,,,30,6.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,60,80.70,,,60,48.60,,,60,28.90,,,60,13.60,,,,,,,,,,,,,60,108.00,,,,,,,60,5.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,90,70.20,,,90,34.90,,,90,23.40,,,90,13.80,,,,,,,,,,,,,90,53.20,,,,,,,90,4.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,120,49.40,,,120,21.70,,,120,19.70,,,120,13.00,,,,,,,,,,,,,120,28.40,,,,,,,120,4.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,150,40.00,,,150,21.70,,,150,17.40,,,150,12.00,,,,,,,,,,,,,150,26.60,,,,,,,150,4.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,180,25.20,,,180,15.60,,,180,16.50,,,180,11.30,,,,,,,,,,,,,180,24.00,,,,,,,180,4.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engström 2007,Engström BE. Ohrvall M. Sundbom M. Lind L. Karlsson FA. Meal suppression of circulating ghrelin is normalized in obese individuals following gastric bypass surgery. Int J Obes (Lond). 2007 Mar;31(3):476-80. doi: 10.1038/sj.ijo.0803440. Epub 2006 Aug 22. PMID: 16924271.,10,Obesity Cohort,43.9,3.1,5,41.4,6.9,,"Analysis of variance for repeated measurements was used for evaluations of changes over time and differences between groups. T-test was used for differences between groups at different time points. Pearson’s correlation coefficient was given when pairs of variables were related. The relationship between glucose. insulin and ghrelin 1 h following the meal was calculated as the percentage change from the last fasting
values taken. Morning ghrelin values were transformed into logarithm before analysis and are presented as geometric means7s.d. Other measurements are reported as means7s.d. P<0.05 was considered as significant. The subjects came to our metabolic unit at the Samariterhemmet Hospital in the morning after overnight fasting and continued to fast until a standardized meal was given at 1300 hours. The meal consisted of 770 kcal (30% fat. 15–20% proteins and 50–55% carbohydrates). Blood samples were drawn at 0800. 1000 and 1200 hours and at 1300. 1330. 1400. 1430. 1500 and 1600 hours and were analysed for ghrelin. glucose and insulin.",Serum ghrelin levels were measured using a commercial radioimmunoassay (Phoenix Pharmaceuticals Inc.. Belmont. CA. USA). It employs 125I-labelled bioactive ghrelin as a tracer and a polyclonal antibody raised in rabbits against the full-length. octanoylated human ghrelin. Intra- and interassay coefficients of variance were 5.3 and 13.6%. respectively.29 Fasting plasma glucose was measured with routine clinical chemistry laboratory technique at the Department of Clinical Chemistry. University of Uppsala. Serum insulin was measured with an AutoDELFIA automatic immunoassay system (Wallac Inc.. Oy. Turku. Finland).,Meal test 770 Kcal ((30% fat. 15–20% proteins and 50–55% carbohydrates)),Obesity Cohort ,Solid Mixed Meal Test,770 Kcal,,,,,ACYLATED GHRELIN,Time,Pmol/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insulin,Time,Pmol/L,,,,,,Glucose,Time,mmol/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0,68.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,40.20,,,,,,,0,5.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,15,69.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,105.30,,,,,,,15,5.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,30,71.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,180.96,,,,,,,30,6.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,60,73.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,280.56,,,,,,,60,7.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,90,70.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,311.16,,,,,,,90,7.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,120,66.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,303.54,,,,,,,120,7.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,150,63.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,277.68,,,,,,,150,7.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,180,65.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,247.20,,,,,,,180,6.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeBenedictis 2020,"DeBenedictis JN, Nymo S, Ollestad KH, Boyesen GA, Rehfeld JF, Holst JJ, Truby H, Kulseng B, Martins C. Changes in the Homeostatic Appetite System After Weight Loss Reflect a Normalization Toward a Lower Body Weight. J Clin Endocrinol Metab. 2020 Jul 1;105(7):e2538–46. doi: 10.1210/clinem/dgaa202. PMID: 32301981; PMCID: PMC7250208.",34,Obesity before Weight loss by calóric restriction Cohort,34.0,0.4,17,45.0,1.5,"In this study, reduced-obese individuals, who had previously lost 17% of their body weight (through an 8-week very-low-energy diet [VLED] followed by a 4-week refeeding and weight stabilization phase and a 1-year WL maintenance program), were compared with a nonobese FM- and FFM-matched control group. Measurements in reduced-obese individuals were taken at baseline (before WL), at week 13, and 1 year. Data from 34 healthy adults with obesity (body mass index [BMI]: 34.3 ± 2.8 kg/m2) who had participated in a previous WL study (12) were used for this analysis. Thirty-three nonobese controls (18.5 < BMI < 29 kg/m2) were recruited via online and newspaper advertising in Trondheim, Norway. The study was approved by the regional ethics committee (Ref., 2012/1901) and conducted according to the guidelines laid down in the Declaration of Helsinki. All participants provided written informed consent before commencement. All participants at recruitment were required to be weight stable (< 2 kg body weight change over the past 3 months), not currently dieting to lose weight, and with a sedentary life-style (engaging in < 150 minutes/week of physical activity of at least moderate intensity) (13). Because of the known effect of the phase of the menstrual cycle on appetite, females had to be postmenopausal or taking hormonal contraceptives (14). Exclusion criteria were pregnancy, breastfeeding, and clinically significant illness including diabetes, polycystic ovarian syndrome, hyper-/hypothyroidism, previous WL surgery, and/or medication known to affect appetite/metabolism or induce WL. The dietary protocol and study design which resulted in the WL has been fully described elsewhere (12). In brief, participants were provided with a VLED for 8 consecutive weeks (Allevo, Karo Pharma AS, Sweden) with an energy intake of 2302/2763 kJ (550/660 kcal) per day for females and males, respectively (macronutrient composition: carbohydrates 42%, protein 36%, fat 18%, and fiber 4%). No-energy fluids were allowed ad libitum. Intake of low-starch vegetables (max-imum 100 g/day) were encouraged. At week 9, participants were gradually reintroduced to normal food, whereas reducing intake of the VLED products for 4 weeks aiming at weight stabilization (there was no change in body weight between weeks 9 and 13: -0.3 ± 2.6 kg, P = 0.487). An individual diet plan was prescribed by a trained dietitian tailored to indi idual energy requirements, with 15% to 20% protein, 20% to 30% fat, and 50% to 60% carbohydrates, aimed at weight stabilization. This was followed by a 1-year multidisciplinary weight maintenance program","Statistical analysis was performed with SPSS, version 22 (SPSS Inc., Chicago, IL), and data presented as mean ± SEM, except for baseline anthropometric data, where mean ± SD was used. Statistical significance was set at P < 0.05. All data (anthropometrics, subjective appetite feelings, and plasma concentration of appetite-related hormones, both in the fasting state and after the standardized breakfast [as area under the curve—AUC]) were analyzed using linear mixed-effects models with restricted maximum-likelihood estimation. To enable estimation of changes over time in the group with obesity and the 1 observation for the control group within the same model, the model was based on a categorical variable with 4 levels: 1 through 3 for the obese group (baseline. week 13, and 1 year, respectively), and 10 for the control group (baseline). The comparisons of interest were calculated from linear combinations of the estimated means for each of these 4 categories. Within-subject correlations were accounted for by random subject-specific intercepts in the linear mixed-models. Bonferroni correction was used for post hoc pairwise comparisons: nonobese vs obese (t =1,2,3) + obese (t1-2, t1-3, t2-3); therefore, 6 comparisons. The term “changes over time” refers, therefore, to changes within the obese group (baseline, week 13, and 1 year). AUC for subjective appetite feelings and plasma concentration of appetite-related hormones was calculated from 0 to 150 minutes after the standardized breakfast, using the trapezoid rule and positive incremental AUC (iAUC) presented, as it adjusts for fasting values presented, this was used as it adjusts for fasting values.” Adjusting for menopausal status did not change the study outcomes and, therefore, we decided not include this variable in our linear mixed-effects models.","Subjective appetite feelings (hunger, fullness, desire to eat, and prospective food consumption [PFC]) were measured using a validated 10-cm visual analog scale
(15) and blood samples were collected in the fasting state and every 30 minutes (0, 30, 60, 90, 120, and 150 minutes) after a standardized breakfast (2512 kJ [600 kcal]: 17% protein, 35% fat, and 48% carbohydrates), for a period of 2.5 hours. Plasma samples were analyzed for active ghrelin, total PYY, and active GLP-1 using a Human Metabolic Hormone Magnetic Bead Panel (LINCOplex Kit, Millipore, St Louis, MO). Total GLP-1 and CCK were measured using “in-house” radioimmunoassay methods (16, 17) and PYY3-36 was measured with a commercial radioimmunoassay (Millipore). The intra- and inter-assay coefficients of variation were < 10% and < 15% for ghrelin, active GLP-1, total PYY, and PYY3-36; and < 5% and < 15% for total GLP-1 and CCK, respectively. Blood samples were collected in EDTA-coated tubes. One milliliter of whole blood was then transferred into a micro tube and a 20 μL mixture of inhibitors (10 μL of Pefabloc [Roche Diagnostic, Germany] + 10 μL DPP-IV inhibitor [Merck Millipore, Germany]) was added. For CCK, total GLP-1 and PYY3-36 analysis, aprotinin (DSM, Coatech AB, Kaiseraugst, Switzerland) (500 KIU/mL whole blood) was added to the EDTA tube. Samples were then centrifuged at 3200 rpm for 10 minutes at 18°C and the plasma frozen at −80°C until further analysis. All the samples from the same participant were analyzed in the same batch. The analysis was performed by the same technician, except for CCK and total GLP-1, which were analyzed at the University of Copenhagen, Denmark.",Standardized breakfast (2512 kJ [600 kcal]: 17% protein. 35% fat. and 48% carbohydrates). for a period of 2.5 hours.,Obesity Cohort,Solid Mixed Meal Test,600 Kcal,,,,,ACYLATED GHRELIN,Time,Pmol/L,,,,,,,,,,TOTAL GLP-1,Time,Pmol/L,,ACTIVE GLP-1,Time,Pmol/L,,TOTAL PYY,Time,mmol/L,,,PYY 3-36,Time,Pmol/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0,98.93,,,,,,,,,,,0,26.92,,,0,2.41,,,0,51.30,,,,0,12.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,15,92.51,,,,,,,,,,,15,30.25,,,15,8.46,,,15,58.95,,,,15,13.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,30,84.80,,,,,,,,,,,30,33.38,,,30,13.12,,,30,67.72,,,,30,13.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,60,62.31,,,,,,,,,,,60,34.59,,,60,9.45,,,60,68.42,,,,60,14.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,90,64.24,,,,,,,,,,,90,34.33,,,90,9.90,,,90,66.67,,,,90,14.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,120,71.31,,,,,,,,,,,120,35.31,,,120,10.15,,,120,64.91,,,,120,14.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,150,88.10,,,,,,,,,,,150,34.10,,,150,8.99,,,150,64.21,,,,150,14.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
