study,reference,N,cohort,BMI,BMI_sd,Nfem,age,age_sd,caloric_test,kcal,hormone,time_min,value,cohort_lvl1,cohort_lvl2
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,45,Lean,24.6,2.7,26,39.1,11.1,Solid Mixed Meal Test,600,ACYLATED GHRELIN,0,70.25,Lean,Lean
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,45,Lean,24.6,2.7,26,39.1,11.1,Solid Mixed Meal Test,600,ACYLATED GHRELIN,15,61.15,Lean,Lean
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,45,Lean,24.6,2.7,26,39.1,11.1,Solid Mixed Meal Test,600,ACYLATED GHRELIN,30,51.8,Lean,Lean
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,45,Lean,24.6,2.7,26,39.1,11.1,Solid Mixed Meal Test,600,ACYLATED GHRELIN,60,42.31,Lean,Lean
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,45,Lean,24.6,2.7,26,39.1,11.1,Solid Mixed Meal Test,600,ACYLATED GHRELIN,90,44.42,Lean,Lean
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,45,Lean,24.6,2.7,26,39.1,11.1,Solid Mixed Meal Test,600,ACYLATED GHRELIN,120,49.82,Lean,Lean
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,45,Lean,24.6,2.7,26,39.1,11.1,Solid Mixed Meal Test,600,ACYLATED GHRELIN,150,59.31,Lean,Lean
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,45,Lean,24.6,2.7,26,39.1,11.1,Solid Mixed Meal Test,600,ACTIVE GLP-1,0,1,Lean,Lean
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,45,Lean,24.6,2.7,26,39.1,11.1,Solid Mixed Meal Test,600,ACTIVE GLP-1,15,3.84,Lean,Lean
Aukan 2022,Aukan MI. Nymo S. Haagensli Ollestad K. Akersveen Boyesen G. DeBenedictis JN. Rehfeld JF. Coutinho S. Martins C. Differences in gastrointestinal hormones and appetite ratings among obesity classes. Appetite. 2022 Apr 1;171:105940. doi: 10.1016/j.appet.2022.105940. Epub 2022 Jan 19. PMID: 35063622.,45,Lean,24.6,2.7,26,39.1,11.1,Solid Mixed Meal Test,600,ACTIVE GLP-1,30,6.46,Lean,Lean
